Redirect URL,Full URL,Page Type / AEM Template,Migration Type,Taxonomy: Pillar,Taxonomy: Need states,Taxonomy: Product families,Taxonomy: Product capabilities,Taxonomy: Platforms,Taxonomy: Services and advisory,Taxonomy: Insight and thought leader content type,Taxonomy: Topic,Taxonomy: Theme,Taxonomy: Series,Taxonomy: Time horizon,Taxonomy: Market conditions,Taxonomy: Regulatory and operating context,Taxonomy: Vehicle type/segment,Taxonomy: Industry/Sector,Taxonomy: Audience role,Taxonomy: Workflow stage,Taxonomy: Content formats,Taxonomy: Asset attributes,Taxonomy: Campaign type,Taxonomy: Brand/ data source,Taxonomy: Market - sales region,Taxonomy: Market - region,Taxonomy: Market - Country
https://www.mobilityglobal.com/en-us/about-us,https://www.spglobal.com/mobility/en/about/,About Us TopCo,Manual,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mobilityglobal.com/en-us/automotive-insights/blog/building-dealer-profitability-through-pricing-transparency,https://www.marketscan.com/blog/building-dealer-profitability-through-pricing-transparency/,Blog,Automatic,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends|Pricing trends,Automotive consumer trends,,,,,,/Automotive dealers and retailers,/Dealer / retailer,,/Short-form article,,,,,,
https://www.mobilityglobal.com/en-us/automotive-insights/blog/data-analytics-driving-decisions-leveraging-data-for-strategic-automotive-rebates-and-incentives,https://www.marketscan.com/blog/data-analytics/driving-decisions-leveraging-data-for-strategic-automotive-rebates-and-incentives/,Blog,Automatic,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends|Pricing trends,Automotive consumer trends,,,,,,/Automotive dealers and retailers|/Automotive OEMs,/Dealer / retailer|/OEM strategist,,/Short-form article,,,,,,
https://www.mobilityglobal.com/en-us/automotive-insights/blog/easy-onboarding-of-dealership-tool-brings-endless-opportunities,https://www.marketscan.com/blog/easy-onboarding-of-dealership-tool-brings-endless-opportunities/,Blog,Automatic,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends,Automotive consumer trends,,,,,,/Automotive dealers and retailers,/Dealer / retailer,,/Short-form article,,,,,,
https://www.mobilityglobal.com/en-us/automotive-insights/blog/hot-topics-transparency-and-accuracy-remain-essential-as-dealerships-face-high-inventory,https://www.marketscan.com/blog/hot-topics-transparency-and-accuracy-remain-essential-as-dealerships-face-high-inventory/,Blog,Automatic,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends|Pricing trends,Automotive consumer trends,,,,,,/Automotive dealers and retailers,/Dealer / retailer,,/Short-form article,,,,,,
https://www.mobilityglobal.com/en-us/automotive-insights/blog/how-lenders-can-sell-down-2024-models-in-a-buyers-market,https://www.marketscan.com/blog/how-lenders-can-sell-down-2024-models-in-a-buyers-market/,Blog,Automatic,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends|Pricing trends,Automotive consumer trends,,,,,,/Automotive dealers and retailers,/Leasing / financial services|/Dealer / retailer,,/Short-form article,,,,,,
https://www.mobilityglobal.com/en-us/automotive-insights/blog/incentive-spending-in-a-changing-industry-with-scott-cauvel,https://www.marketscan.com/blog/incentive-spending-in-a-changing-industry-with-scott-cauvel/,Blog,Automatic,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends|Pricing trends,Automotive industry forecast and analysis,,,,,,/Automotive dealers and retailers|/Automotive OEMs,/Dealer / retailer|/OEM strategist,,/Short-form article,,,,,,
https://www.mobilityglobal.com/en-us/automotive-insights/blog/incentive-strategy-best-informed-by-one-data-source,https://www.marketscan.com/blog/incentive-strategy-best-informed-by-one-data-source/,Blog,Automatic,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends|Pricing trends,Automotive industry forecast and analysis,,,,,,/Automotive dealers and retailers|/Automotive OEMs,/Dealer / retailer|/OEM strategist,,/Short-form article,,,Market Scan,,North America,United States
https://www.mobilityglobal.com/en-us/automotive-insights/blog/keeping-dealerships-strong-amidst-auto-industry-tariffs,https://www.marketscan.com/blog/keeping-dealerships-strong-amidst-auto-industry-tariffs/,Blog,Automatic,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends,Automotive consumer trends |Automotive tariffs,,,,/Policy,,/Automotive dealers and retailers,/Dealer / retailer,,/Short-form article,,,Market Scan,,North America,United States
https://www.mobilityglobal.com/en-us/automotive-insights/blog/leasing-effective-tool-address-customer-affordability-concerns,https://www.marketscan.com/blog/leasing-effective-tool-address-customer-affordability-concerns/,Blog,Automatic,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends|Pricing trends|Consumer behavior insights,Automotive consumer trends,,,,,,/Automotive dealers and retailers,/Dealer / retailer|/Leasing / financial services,,/Short-form article,,,Market Scan,,North America,United States
