Full URL,Page Type,JCR Path,Page Status,Taxonomy Status,Total Tags,Resolved,Skipped (typo/invalid),Breadcrumb Removed,Resolved Tag Details
https://www.marketscan.com/blog/building-dealer-profitability-through-pricing-transparency/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/building-dealer-profitability-through-pricing-transparency,NEW,PENDING (page not in AEM),9,9,0,Yes,pillars=mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates...
https://www.marketscan.com/blog/data-analytics/driving-decisions-leveraging-data-for-strategic-automotive-rebates-and-incentives/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/data-analytics/driving-decisions-leveraging-data-for-strategic-automotive-rebates-and-incentives,NEW,PENDING (page not in AEM),11,11,0,Yes,pillars=mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates...
https://www.marketscan.com/blog/easy-onboarding-of-dealership-tool-brings-endless-opportunities/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/easy-onboarding-of-dealership-tool-brings-endless-opportunities,NEW,PENDING (page not in AEM),8,8,0,Yes,pillars=mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates...
https://www.marketscan.com/blog/hot-topics-transparency-and-accuracy-remain-essential-as-dealerships-face-high-inventory/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/hot-topics-transparency-and-accuracy-remain-essential-as-dealerships-face-high-inventory,NEW,PENDING (page not in AEM),9,9,0,Yes,pillars=mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates...
https://www.marketscan.com/blog/how-lenders-can-sell-down-2024-models-in-a-buyers-market/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/how-lenders-can-sell-down-2024-models-in-a-buyers-market,NEW,PENDING (page not in AEM),10,10,0,Yes,pillars=mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates...
https://www.marketscan.com/blog/incentive-spending-in-a-changing-industry-with-scott-cauvel/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/incentive-spending-in-a-changing-industry-with-scott-cauvel,NEW,PENDING (page not in AEM),11,11,0,Yes,pillars=mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates...
https://www.marketscan.com/blog/incentive-strategy-best-informed-by-one-data-source/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/incentive-strategy-best-informed-by-one-data-source,NEW,PENDING (page not in AEM),14,14,0,Yes,pillars=mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates...
https://www.marketscan.com/blog/keeping-dealerships-strong-amidst-auto-industry-tariffs/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/keeping-dealerships-strong-amidst-auto-industry-tariffs,NEW,PENDING (page not in AEM),13,13,0,Yes,pillars=mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates...
https://www.marketscan.com/blog/leasing-effective-tool-address-customer-affordability-concerns/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/leasing-effective-tool-address-customer-affordability-concerns,NEW,PENDING (page not in AEM),14,14,0,Yes,pillars=mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates...
https://www.marketscan.com/blog/nada-show-2025-recap-helping-dealers-accelerate-their-sales/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/nada-show-2025-recap-helping-dealers-accelerate-their-sales,NEW,PENDING (page not in AEM),11,11,0,Yes,pillars=mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/events-and-webinars | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports...
https://www.marketscan.com/blog/navigating-the-affordability-crisis-accelerating-industry-performance-with-precision-and-scale/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/navigating-the-affordability-crisis-accelerating-industry-performance-with-precision-and-scale,NEW,PENDING (page not in AEM),12,12,0,Yes,pillars=mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates...
https://www.marketscan.com/blog/need-for-speed-cut-transaction-times-to-grow-dealership-profit/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/need-for-speed-cut-transaction-times-to-grow-dealership-profit,NEW,PENDING (page not in AEM),11,11,0,Yes,pillars=mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates...
https://www.marketscan.com/blog/rev-up-your-sales-how-precision-data-transforms-auto-retail/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/rev-up-your-sales-how-precision-data-transforms-auto-retail,NEW,PENDING (page not in AEM),11,11,0,Yes,pillars=mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates...
https://www.marketscan.com/blog/software-providers-enable-transparent-and-effective-dealership-operations/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/software-providers-enable-transparent-and-effective-dealership-operations,NEW,PENDING (page not in AEM),11,11,0,Yes,pillars=mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates...
https://www.marketscan.com/blog/the-us-auto-market-oems-and-captive-lenders-face-new-challenges/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/the-us-auto-market-oems-and-captive-lenders-face-new-challenges,NEW,PENDING (page not in AEM),14,14,0,Yes,pillars=mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates...
https://www.marketscan.com/blog/tried-and-true-data-backs-the-strongest-dealership-software/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/tried-and-true-data-backs-the-strongest-dealership-software,NEW,PENDING (page not in AEM),9,9,0,Yes,pillars=mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates...
https://www.spglobal.com/automotive-insights/en/blogs/2022/10/a-reckoning-for-ev-battery-raw-materials,Blog or Automotive Insights,/content/mobility-global/en-us/automotive-insights/blogs/2022/10/a-reckoning-for-ev-battery-raw-materials,EXISTS,FULLY APPLIED,11,11,0,Yes,pillars=mobility-global:pillars/planning-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates...
https://www.spglobal.com/automotive-insights/en/blogs/2022/10/hyundai-motor-rises-to-3-in-us-market,Blog or Automotive Insights,/content/mobility-global/en-us/automotive-insights/blogs/2022/10/hyundai-motor-rises-to-3-in-us-market,EXISTS,FULLY APPLIED,12,12,0,Yes,pillars=mobility-global:pillars/planning-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates...
https://www.spglobal.com/automotive-insights/en/blogs/2022/10/mhcv-medium-and-heavy-commercial-vehicles-powertrain-propulsio,Blog or Automotive Insights,/content/mobility-global/en-us/automotive-insights/blogs/2022/10/mhcv-medium-and-heavy-commercial-vehicles-powertrain-propulsio,EXISTS,FULLY APPLIED,10,10,0,Yes,pillars=mobility-global:pillars/planning-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates...
https://www.spglobal.com/automotive-insights/en/blogs/2022/10/sp-global-mobility-predicts-strong-monthly-saar-for-october,Blog or Automotive Insights,/content/mobility-global/en-us/automotive-insights/blogs/2022/10/sp-global-mobility-predicts-strong-monthly-saar-for-october,EXISTS,FULLY APPLIED,8,8,0,Yes,pillars=mobility-global:pillars/planning-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/data-and-forecasts | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates...
https://www.spglobal.com/automotive-insights/en/blogs/2022/11/ethnic-share-in-us-light-vehicle-market-reaches-a-record-33,Blog or Automotive Insights,/content/mobility-global/en-us/automotive-insights/blogs/2022/11/ethnic-share-in-us-light-vehicle-market-reaches-a-record-33,EXISTS,FULLY APPLIED,14,14,0,Yes,pillars=mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates...
https://www.spglobal.com/automotive-insights/en/blogs/2022/11/fuel-for-thought-top-5-global-automotive-aftermarket-trends,Blog or Automotive Insights,/content/mobility-global/en-us/automotive-insights/blogs/2022/11/fuel-for-thought-top-5-global-automotive-aftermarket-trends,EXISTS,FULLY APPLIED,8,8,0,Yes,pillars=mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates...
https://www.spglobal.com/automotive-insights/en/blogs/2022/11/new-ev-entries-nibbling-away-at-tesla-ev-share,Blog or Automotive Insights,/content/mobility-global/en-us/automotive-insights/blogs/2022/11/new-ev-entries-nibbling-away-at-tesla-ev-share,EXISTS,FULLY APPLIED,9,9,0,Yes,pillars=mobility-global:pillars/planning-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates...
https://www.spglobal.com/automotive-insights/en/blogs/2022/12/fuel-for-thought-sp-global-mobility-forecasts-836m-units,Blog or Automotive Insights,/content/mobility-global/en-us/automotive-insights/blogs/2022/12/fuel-for-thought-sp-global-mobility-forecasts-836m-units,EXISTS,FULLY APPLIED,8,8,0,Yes,pillars=mobility-global:pillars/planning-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/data-and-forecasts | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates...
https://www.spglobal.com/automotive-insights/en/blogs/2022/12/plenty-of-22-models-still-on-the-shelf,Blog or Automotive Insights,/content/mobility-global/en-us/automotive-insights/blogs/2022/12/plenty-of-22-models-still-on-the-shelf,EXISTS,FULLY APPLIED,9,9,0,Yes,pillars=mobility-global:pillars/sales-solutions | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports | insightsThoughtLeaderContentType=mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates...
https://www.spglobal.com/automotive-insights/en/blogs/2022/12/sp-global-mobility-expands-supplier-solutions-with-investment,Blog or Automotive Insights,/content/mobility-global/en-us/automotive-insights/blogs/2022/12/sp-global-mobility-expands-supplier-solutions-with-investment,EXISTS,FULLY APPLIED,3,3,0,Yes,pillars=mobility-global:pillars/planning-solutions | theme=mobility-global:insights-and-intelligence/theme/automotive-supply-chain | contentFormat=mobility-global:system-and-structural-tags/content-formats/written-formats/short-form-article
