Metric,Value
Total Pages in CSV,496
,
--- PAGE STATUS ---,
Existing in AEM (taxonomy applied),374
Existing in AEM (no tags in CSV),0
New pages (not yet in AEM),106
Could not map URL to JCR path,13
,
--- TAXONOMY STATUS ---,
Pages fully resolved (all tags applied),387
Pages partially resolved,0
"Pages pending (new, not in AEM)",106
,
--- TAG RESOLUTION ---,
Total tag values in CSV,5141
Successfully resolved to AEM paths,5137
Skipped (typos/invalid data),4
Unresolved (missing from AEM),0
,
--- ACTIONS TAKEN ---,
Taxonomy package installed (mode=update),taxonomy-all-pages.zip
Breadcrumb-override removed,Yes (set to empty on all 479 pages)
Package approach,mode=update at jcr:content level - content untouched
,
--- REMAINING WORK ---,
New pages needing content creation,106
Pages with unmappable URLs,13
