Full URL,Page Type,JCR Path,Page Status,Taxonomy Status,Total Tags in CSV,Tags Resolved,Tags Unresolved,Unresolved Tag Details
https://www.marketscan.com/blog/building-dealer-profitability-through-pricing-transparency/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/building-dealer-profitability-through-pricing-transparency,NEW (not in AEM),PENDING (page not created),9,8,1,audienceRole: Dealer / retailer
https://www.marketscan.com/blog/data-analytics/driving-decisions-leveraging-data-for-strategic-automotive-rebates-and-incentives/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/data-analytics/driving-decisions-leveraging-data-for-strategic-automotive-rebates-and-incentives,NEW (not in AEM),PENDING (page not created),11,10,1,audienceRole: Dealer / retailer
https://www.marketscan.com/blog/easy-onboarding-of-dealership-tool-brings-endless-opportunities/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/easy-onboarding-of-dealership-tool-brings-endless-opportunities,NEW (not in AEM),PENDING (page not created),8,7,1,audienceRole: Dealer / retailer
https://www.marketscan.com/blog/hot-topics-transparency-and-accuracy-remain-essential-as-dealerships-face-high-inventory/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/hot-topics-transparency-and-accuracy-remain-essential-as-dealerships-face-high-inventory,NEW (not in AEM),PENDING (page not created),9,8,1,audienceRole: Dealer / retailer
https://www.marketscan.com/blog/how-lenders-can-sell-down-2024-models-in-a-buyers-market/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/how-lenders-can-sell-down-2024-models-in-a-buyers-market,NEW (not in AEM),PENDING (page not created),10,8,2,audienceRole: Leasing / financial services | audienceRole: Dealer / retailer
https://www.marketscan.com/blog/incentive-spending-in-a-changing-industry-with-scott-cauvel/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/incentive-spending-in-a-changing-industry-with-scott-cauvel,NEW (not in AEM),PENDING (page not created),11,10,1,audienceRole: Dealer / retailer
https://www.marketscan.com/blog/incentive-strategy-best-informed-by-one-data-source/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/incentive-strategy-best-informed-by-one-data-source,NEW (not in AEM),PENDING (page not created),14,13,1,audienceRole: Dealer / retailer
https://www.marketscan.com/blog/keeping-dealerships-strong-amidst-auto-industry-tariffs/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/keeping-dealerships-strong-amidst-auto-industry-tariffs,NEW (not in AEM),PENDING (page not created),13,12,1,audienceRole: Dealer / retailer
https://www.marketscan.com/blog/leasing-effective-tool-address-customer-affordability-concerns/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/leasing-effective-tool-address-customer-affordability-concerns,NEW (not in AEM),PENDING (page not created),14,12,2,audienceRole: Dealer / retailer | audienceRole: Leasing / financial services
https://www.marketscan.com/blog/nada-show-2025-recap-helping-dealers-accelerate-their-sales/,Blog,/content/mobility-global/en-us/automotive-insights/blogs/nada-show-2025-recap-helping-dealers-accelerate-their-sales,NEW (not in AEM),PENDING (page not created),11,10,1,audienceRole: Dealer / retailer
